,CreationTime,principal component 1,principal component 2,InBandwidth
0,2018-08-02 01:45:00,-443522099.98883265,-90016724.09391315,197156103.82137492
1,2018-08-02 02:00:00,-475195840.18432707,-95387840.59958348,165141363.6248394
2,2018-08-02 02:15:00,-497798253.9373417,-90680206.42538396,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178065,-90862288.27296685,123182995.18753234
4,2018-08-02 02:45:00,-530900110.5116334,-91311038.9728904,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175038,-96315525.77349477,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303585,-91453945.60130562,91342677.48521297
7,2018-08-02 03:30:00,-556641152.291919,-91450651.48601976,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242118,-91462573.59235369,77786277.24865618
9,2018-08-02 04:00:00,-566448090.439884,-96420159.55725071,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448347,-87590453.40911709,427078964.5380359
11,2018-08-02 10:00:00,61699553.00206039,-90579225.67288888,709279216.7176036
12,2018-08-02 10:15:00,115248556.87049055,-92463033.85868964,762376497.4459728
13,2018-08-02 10:30:00,147399109.91265732,-108848017.48413618,794781159.0188048
14,2018-08-02 10:45:00,153391382.6750297,-98867492.58077379,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857352,-96602668.96910594,822675180.3587673
16,2018-08-02 11:15:00,175928189.2201347,-84469122.70470738,825496911.6120068
17,2018-08-02 11:30:00,192572453.40369102,-91611319.32808718,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937628,-84598457.9430001,856131012.5219313
19,2018-08-02 12:30:00,207643392.24783793,-116198479.79871662,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526253,-116669866.15800914,1033782052.034564
21,2018-08-02 13:45:00,211029001.7325026,-109449051.48479354,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202832,-115439136.72324221,1039090649.2142793
23,2018-08-02 15:45:00,337935215.35141915,-116979259.417418,991332465.8792404
24,2018-08-02 16:00:00,310969898.5315234,-120522601.22309746,964067802.1492027
25,2018-08-02 16:15:00,277935049.70037466,-114849942.30279088,930679191.0541207
26,2018-08-02 16:30:00,288103120.03480285,-92740324.65772705,939363198.2996098
27,2018-08-02 16:45:00,311478682.54754823,-129012960.69016698,963876720.3584332
28,2018-08-02 17:00:00,307177063.6925389,-112875497.82361494,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109733,-99605035.01415202,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667359,-107462568.95731144,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777182,-86948509.91088156,922223067.8369813
32,2018-08-02 18:00:00,279419704.9933547,-96801520.59699075,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473887,-96391443.84467608,656357076.9376068
34,2018-08-04 00:15:00,-61526237.527348034,-92033159.29180615,583831789.3703567
35,2018-08-04 00:30:00,-132957096.1894238,-93011046.74574837,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184703,-93393500.51908472,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878314,-99188250.28779154,375079608.09977895
38,2018-08-04 01:15:00,-314947259.15038264,-94606559.80523194,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807473,-95073860.06404872,277490562.7949104
40,2018-08-04 01:45:00,-405606336.8351988,-95436178.28720683,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312835,-100517537.37310776,211283593.98545995
42,2018-08-04 02:15:00,-454272209.56776905,-95803966.16671279,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127624,-96161903.67343612,157956183.43744123
44,2018-08-04 02:45:00,-500657948.2029833,-96256622.03871293,140053660.9194083
45,2018-08-04 03:15:00,-534975989.8106409,-96588650.79225796,105233178.32681122
