,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888381,-90016724.09391293,-34798155.20516224,197156103.82137492
1,2018-08-02 02:00:00,-475195840.1843277,-95387840.59958309,-32032438.64212725,165141363.6248394
2,2018-08-02 02:15:00,-497798253.937342,-90680206.4253838,-34451082.49244796,142140632.13992673
3,2018-08-02 02:30:00,-516358101.1017812,-90862288.27296674,-34355439.172014974,123182995.18753234
4,2018-08-02 02:45:00,-530900110.51163405,-91311038.97289027,-34123084.17461605,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175043,-96315525.77349462,-31548506.51954231,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303593,-91453945.60130548,-34047759.46501933,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919196,-91450651.4860196,-34048507.71502625,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242127,-91462573.59235352,-34041860.746133246,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398844,-96420159.55725056,-31491691.16011294,72959970.09141228
10,2018-08-02 08:45:00,-216609631.0244837,-87590453.40911697,-36121313.166371986,427078964.5380359
11,2018-08-02 10:00:00,61699553.002060935,-90579225.6728887,-34614220.82917924,709279216.7176036
12,2018-08-02 10:15:00,115248556.8704906,-92463033.85868949,-33651171.232248396,762376497.4459728
13,2018-08-02 10:30:00,147399109.9126578,-108848017.484136,-25228031.072520476,794781159.0188048
14,2018-08-02 10:45:00,153391382.67503038,-98867492.58077365,-30361540.843012217,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857382,-96602668.96910578,-31528316.628798295,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013548,-84469122.70470724,-37768881.893109046,825496911.6120068
17,2018-08-02 11:30:00,192572453.4036915,-91611319.32808705,-34097527.29830098,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937629,-84598457.94299993,-37705476.851357535,856131012.5219313
19,2018-08-02 12:30:00,207643392.24783868,-116198479.79871641,-21454265.64370459,859697158.7995857
20,2018-08-02 13:30:00,381829162.5252629,-116669866.15800901,-21230618.9443887,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250294,-109449051.4847934,-24925789.423723646,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202834,-115439136.72324206,-21866842.871619407,1039090649.2142793
23,2018-08-02 15:45:00,337935215.35141975,-116979259.41741782,-21069956.62357714,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152406,-120522601.22309728,-19244747.776578758,964067802.1492027
25,2018-08-02 16:15:00,277935049.70037484,-114849942.30279066,-22158567.087043952,930679191.0541207
26,2018-08-02 16:30:00,288103120.0348032,-92740324.65772687,-33530380.45463057,939363198.2996098
27,2018-08-02 16:45:00,311478682.5475489,-129012960.69016677,-14878315.400126196,963876720.3584332
28,2018-08-02 17:00:00,307177063.69253975,-112875497.82361478,-23177159.597442277,959280048.2215598
29,2018-08-02 17:15:00,303049317.81097376,-99605035.01415189,-30001559.87055737,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667361,-107462568.95731126,-25957270.92171079,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777193,-86948509.91088142,-36507163.523348816,922223067.8369813
32,2018-08-02 18:00:00,279419704.9933552,-96801520.59699062,-31440830.064522102,930489336.3031119
33,2018-08-04 00:00:00,10418069.19647413,-96391443.84467596,-31829467.467699878,656357076.9376068
34,2018-08-04 00:15:00,-61526237.52734816,-92033159.29180601,-34063125.35277025,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942401,-93011046.74574825,-33552509.471342847,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184712,-93393500.51908457,-33349066.140475295,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878362,-99188250.28779137,-30361080.282949243,375079608.09977895
38,2018-08-04 01:15:00,-314947259.1503832,-94606559.8052318,-32712332.710661925,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807476,-95073860.06404856,-32466587.216934476,277490562.7949104
40,2018-08-04 01:45:00,-405606336.8351993,-95436178.2872067,-32275893.394315545,235782680.34317845
41,2018-08-04 02:00:00,-430015332.2531285,-100517537.37310764,-29659978.964381047,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677695,-95803966.16671266,-32081496.49109845,186818854.59262213
43,2018-08-04 02:30:00,-482837948.61276263,-96161903.67343599,-31894332.76559223,157956183.43744123
44,2018-08-04 02:45:00,-500657948.202984,-96256622.03871281,-31843698.569574334,140053660.9194083
45,2018-08-04 03:15:00,-534975989.8106415,-96588650.79225779,-31669239.823238567,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876813,-96760213.09579231,-31578807.71606842,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659954,-101737850.52624632,-29018547.136693433,81583969.544661
48,2018-08-04 04:15:00,-562398728.630742,-96767668.86901349,-31574215.876429293,77349450.81341767
49,2018-08-04 04:30:00,-563959438.5682251,-96725061.80333897,-31599140.1152783,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604895,-96712697.57579161,-31605380.602653485,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124166,-101713765.20245512,-29033144.165597294,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904697,-96678903.51111804,-31623134.275091033,78152042.62092836
53,2018-08-04 05:30:00,-555530025.883057,-96608472.4545843,-31660009.167485446,84492065.68160433
54,2018-08-04 05:45:00,-546183129.528636,-96524810.15531,-31704043.879958026,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701825,-101452131.20623626,-29172272.472647782,115189142.32308435
56,2018-08-04 06:15:00,-506138199.8871198,-96455190.43212141,-31744166.65782946,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557267,-96329468.52041158,-31811652.126754683,160288974.64486757
58,2018-08-04 06:45:00,-455610126.71487725,-95962027.80453146,-32003242.346684806,185062545.34604377
59,2018-08-04 07:00:00,-429814399.7204837,-100500724.03269204,-29671826.532734375,211129548.7061004
60,2018-08-04 07:15:00,-392144684.3069699,-95431590.43948387,-32282884.042916145,248987030.0941704
61,2018-08-04 07:30:00,-382039852.20830953,-95064327.03600423,-32472851.957763735,259967244.15024072
