,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888322,-90016724.09391333,-34798155.205162354,12488.754062497796,197156103.82137492
1,2018-08-02 02:00:00,-475195840.1843278,-95387840.59958248,-32032438.642126877,8450.392482391999,165141363.6248394
2,2018-08-02 02:15:00,-497798253.93734205,-90680206.42538409,-34451082.492447495,9052.2171877556,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178125,-90862288.27296697,-34355439.17201501,7401.328442986037,123182995.18753234
4,2018-08-02 02:45:00,-530900110.51163405,-91311038.97289054,-34123084.17461608,6456.43786580453,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175044,-96315525.7734949,-31548506.519542355,3154.4005800207715,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303593,-91453945.60130572,-34047759.46501938,5156.831841820408,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919194,-91450651.48601991,-34048507.715026274,5484.074914900095,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242127,-91462573.59235379,-34041860.74613328,4794.084608468933,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398845,-96420159.55725081,-31491691.16011298,2854.6810072613075,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448383,-87590453.40911719,-36121313.16637204,18365.259655268987,427078964.5380359
11,2018-08-02 10:00:00,61699553.00206084,-90579225.67288892,-34614220.82917927,51972.45246622099,709279216.7176036
12,2018-08-02 10:15:00,115248556.87049055,-92463033.85868967,-33651171.23224843,60920.53614076016,762376497.4459728
13,2018-08-02 10:30:00,147399109.9126577,-108848017.48413624,-25228031.072520506,63762.383749291315,794781159.0188048
14,2018-08-02 10:45:00,153391382.6750303,-98867492.58077388,-30361540.843012236,74559.33601616803,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857373,-96602668.96910602,-31528316.62879834,78442.61379014766,822675180.3587673
16,2018-08-02 11:15:00,175928189.2201354,-84469122.70470746,-37768881.89310908,82332.83490987141,825496911.6120068
17,2018-08-02 11:30:00,192572453.4036914,-91611319.32808727,-34097527.298301026,85286.74536349271,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937628,-84598457.94300012,-37705476.85135759,81986.31491574598,856131012.5219313
19,2018-08-02 12:30:00,207643392.2478385,-116198479.79871668,-21454265.643704604,77127.7069607536,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526283,-116669866.15800916,-21230618.94438872,79755.91963786935,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250288,-109449051.4847936,-24925789.423723675,59266.79401597228,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202834,-115439136.72324222,-21866842.871619437,65775.60928396482,1039090649.2142793
23,2018-08-02 15:45:00,337935215.3514197,-116979259.41741803,-21069956.623577174,59088.66386277271,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152376,-120522601.22309747,-19244747.77657877,63821.23328473968,964067802.1492027
25,2018-08-02 16:15:00,277935049.70037484,-114849942.3027909,-22158567.087043993,65819.04230018416,930679191.0541207
26,2018-08-02 16:30:00,288103120.03480315,-92740324.65772709,-33530380.454630602,70031.09598898176,939363198.2996098
27,2018-08-02 16:45:00,311478682.5475488,-129012960.690167,-14878315.400126224,48575.64208814296,963876720.3584332
28,2018-08-02 17:00:00,307177063.69253963,-112875497.82361498,-23177159.597442314,50920.86144658038,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109735,-99605035.01415208,-30001559.8705574,48061.3742066224,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667361,-107462568.95731147,-25957270.921710808,38450.84330824538,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777191,-86948509.91088161,-36507163.52334885,43515.708063473976,922223067.8369813
