,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888357,-90016724.0939131,-34798155.20516241,12488.754062435713,-4317.0240482635845,197156103.82137492
1,2018-08-02 02:00:00,-475195840.1843275,-95387840.59958205,-32032438.642127335,8450.392482392663,-3823.149379842013,165141363.6248394
2,2018-08-02 02:15:00,-497798253.9373425,-90680206.42538388,-34451082.49244753,9052.217187755496,-4004.796572794056,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178125,-90862288.2729668,-34355439.172015004,7401.328442987819,-3670.193326984711,123182995.18753234
4,2018-08-02 02:45:00,-530900110.51163393,-91311038.97289035,-34123084.174616076,6456.437865804593,-3433.335575480794,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175045,-96315525.77349468,-31548506.519542333,3154.4005800208074,-2747.263076649963,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303591,-91453945.60130556,-34047759.46501937,5156.83184182039,-3295.9873993396186,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919198,-91450651.48601972,-34048507.715026274,5484.074914900461,-3555.4286611152934,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242125,-91462573.59235361,-34041860.74613328,4794.0846084690875,-3182.5669544308475,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398847,-96420159.55725063,-31491691.160112977,2854.6810072615162,-2762.7486155213455,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448365,-87590453.40911704,-36121313.16637203,18365.259655268947,-2311.9993426667565,427078964.5380359
11,2018-08-02 10:00:00,61699553.00206042,-90579225.67288874,-34614220.829179265,51972.45246622117,-10845.229852504453,709279216.7176036
12,2018-08-02 10:15:00,115248556.87049073,-92463033.85868952,-33651171.23224843,60920.53614076026,-14166.755821778645,762376497.4459728
13,2018-08-02 10:30:00,147399109.9126575,-108848017.48413607,-25228031.072520487,63762.3837492915,-16203.644808931489,794781159.0188048
14,2018-08-02 10:45:00,153391382.67502972,-98867492.5807737,-30361540.843012232,74559.33601616826,-19094.698480977473,802044621.2936982
15,2018-08-02 11:00:00,171983010.8285738,-96602668.96910585,-31528316.62879833,78442.61379014773,-19235.076055069614,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013482,-84469122.7047073,-37768881.89310906,82332.83490987172,-20307.422428137303,825496911.6120068
17,2018-08-02 11:30:00,192572453.40369123,-91611319.3280871,-34097527.298301004,85286.74536349296,-20258.820088763936,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937631,-84598457.943,-37705476.85135757,81986.31491574622,-18697.493069360084,856131012.5219313
19,2018-08-02 12:30:00,207643392.24783814,-116198479.79871646,-21454265.643704597,77127.7069607538,-17788.53292313382,859697158.7995857
20,2018-08-02 13:30:00,381829162.5252632,-116669866.15800901,-21230618.94438872,79755.91963786943,-18091.634855356406,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250294,-109449051.48479347,-24925789.42372367,59266.794015972366,-11930.924485159161,861424081.3474141
22,2018-08-02 15:30:00,382648238.92028385,-115439136.72324209,-21866842.87161943,65775.60928396482,-10941.269398851351,1039090649.2142793
23,2018-08-02 15:45:00,337935215.3514196,-116979259.41741791,-21069956.623577178,59088.66386277279,-9701.601116688787,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152394,-120522601.22309734,-19244747.77657877,63821.23328473977,-12252.822150742059,964067802.1492027
25,2018-08-02 16:15:00,277935049.7003752,-114849942.30279078,-22158567.08704399,65819.04230018426,-13636.051580425565,930679191.0541207
26,2018-08-02 16:30:00,288103120.03480333,-92740324.65772693,-33530380.454630587,70031.09598898186,-13662.86226124345,939363198.2996098
27,2018-08-02 16:45:00,311478682.54754883,-129012960.69016679,-14878315.40012622,48575.64208814299,-7235.171127097644,963876720.3584332
