,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888384,-90016724.09391344,-34798155.20516243,12488.754062467631,-4317.024048244315,1185.9431572139943,197156103.82137492
1,2018-08-02 02:00:00,-475195840.18432766,-95387840.59958383,-32032438.64212553,8450.392482392552,-3823.149379842879,1032.633588789132,165141363.6248394
2,2018-08-02 02:15:00,-497798253.9373429,-90680206.42538412,-34451082.49244753,9052.217187756743,-4004.7965727919272,716.6540932517396,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178137,-90862288.272967,-34355439.17201496,7401.328442986981,-3670.1933269868523,580.2003878125815,123182995.18753234
4,2018-08-02 02:45:00,-530900110.5116341,-91311038.97289056,-34123084.17461603,6456.437865804581,-3433.3355754811723,435.49357353960374,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175049,-96315525.77349491,-31548506.519542307,3154.400580020834,-2747.2630766492543,517.2949251276482,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303595,-91453945.60130577,-34047759.46501932,5156.831841820622,-3295.9873993401998,364.6478405511522,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919201,-91450651.48601991,-34048507.71502624,5484.074914900075,-3555.4286611139046,293.90179256177544,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242126,-91462573.5923538,-34041860.74613323,4794.084608468936,-3182.5669544314865,238.5483093235227,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398848,-96420159.55725086,-31491691.160112932,2854.6810072612825,-2762.748615520761,323.9851224025995,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448374,-87590453.40911719,-36121313.166371986,18365.259655269067,-2311.999342667315,-1526.394170117031,427078964.5380359
11,2018-08-02 10:00:00,61699553.002060354,-90579225.67288895,-34614220.82917923,51972.45246622105,-10845.22985250318,-3000.595175839049,709279216.7176036
