,CreationTime,principal component 1,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888344,197156103.82137492
1,2018-08-02 02:00:00,-475195840.1843276,165141363.6248394
2,2018-08-02 02:15:00,-497798253.93734205,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178113,123182995.18753234
4,2018-08-02 02:45:00,-530900110.5116339,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175043,100541287.74024422
6,2018-08-02 03:15:00,-547870574.330359,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919195,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242124,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398842,72959970.09141228
10,2018-08-02 08:45:00,-216609631.0244838,427078964.5380359
11,2018-08-02 10:00:00,61699553.002060406,709279216.7176036
12,2018-08-02 10:15:00,115248556.87049039,762376497.4459728
13,2018-08-02 10:30:00,147399109.9126573,794781159.0188048
14,2018-08-02 10:45:00,153391382.67502978,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857347,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013482,825496911.6120068
17,2018-08-02 11:30:00,192572453.403691,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937626,856131012.5219313
19,2018-08-02 12:30:00,207643392.24783802,859697158.7995857
20,2018-08-02 13:30:00,381829162.5252625,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250252,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202831,1039090649.2142793
23,2018-08-02 15:45:00,337935215.3514192,991332465.8792404
24,2018-08-02 16:00:00,310969898.5315234,964067802.1492027
25,2018-08-02 16:15:00,277935049.7003745,930679191.0541207
26,2018-08-02 16:30:00,288103120.03480285,939363198.2996098
27,2018-08-02 16:45:00,311478682.54754823,963876720.3584332
28,2018-08-02 17:00:00,307177063.6925391,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109732,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667357,925199985.3717977
31,2018-08-02 17:45:00,270580218.47771853,922223067.8369813
32,2018-08-02 18:00:00,279419704.99335474,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473828,656357076.9376068
34,2018-08-04 00:15:00,-61526237.527348235,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942405,511495988.7798055
36,2018-08-04 00:45:00,-195581665.7818472,448166886.11900276
37,2018-08-04 01:00:00,-268051522.0887835,375079608.09977895
38,2018-08-04 01:15:00,-314947259.1503831,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807477,277490562.7949104
40,2018-08-04 01:45:00,-405606336.8351993,235782680.34317845
41,2018-08-04 02:00:00,-430015332.2531286,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677694,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127627,157956183.43744123
44,2018-08-04 02:45:00,-500657948.20298386,140053660.9194083
45,2018-08-04 03:15:00,-534975989.81064135,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876813,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659951,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307417,77349450.81341767
49,2018-08-04 04:30:00,-563959438.568225,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604895,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124163,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904693,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830568,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286357,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701824,115189142.32308435
56,2018-08-04 06:15:00,-506138199.8871197,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557266,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148773,185062545.34604377
59,2018-08-04 07:00:00,-429814399.72048384,211129548.7061004
60,2018-08-04 07:15:00,-392144684.3069699,248987030.0941704
61,2018-08-04 07:30:00,-382039852.2083094,259967244.15024072
62,2018-08-04 07:45:00,-354410800.36118126,287419776.09520876
