,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888326,-90016724.09391321,-34798155.205162235,197156103.82137492
1,2018-08-02 02:00:00,-475195840.18432766,-95387840.59958316,-32032438.642126348,165141363.6248394
2,2018-08-02 02:15:00,-497798253.93734175,-90680206.42538407,-34451082.49244771,142140632.13992673
3,2018-08-02 02:30:00,-516358101.101781,-90862288.27296697,-34355439.172014974,123182995.18753234
4,2018-08-02 02:45:00,-530900110.5116339,-91311038.97289051,-34123084.17461604,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175041,-96315525.77349488,-31548506.519542307,100541287.74024422
6,2018-08-02 03:15:00,-547870574.330359,-91453945.60130572,-34047759.46501932,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919191,-91450651.48601988,-34048507.71502624,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242122,-91462573.59235378,-34041860.74613324,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398843,-96420159.5572508,-31491691.160112936,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448374,-87590453.40911718,-36121313.166371986,427078964.5380359
11,2018-08-02 10:00:00,61699553.00206073,-90579225.6728889,-34614220.829179235,709279216.7176036
12,2018-08-02 10:15:00,115248556.8704906,-92463033.85868968,-33651171.23224839,762376497.4459728
13,2018-08-02 10:30:00,147399109.91265756,-108848017.48413627,-25228031.072520472,794781159.0188048
14,2018-08-02 10:45:00,153391382.6750301,-98867492.58077385,-30361540.84301219,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857367,-96602668.969106,-31528316.62879829,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013515,-84469122.70470743,-37768881.89310905,825496911.6120068
17,2018-08-02 11:30:00,192572453.4036912,-91611319.32808724,-34097527.298300974,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937627,-84598457.9430001,-37705476.85135753,856131012.5219313
19,2018-08-02 12:30:00,207643392.24783838,-116198479.7987167,-21454265.64370457,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526253,-116669866.15800919,-21230618.94438868,1033782052.034564
21,2018-08-02 13:45:00,211029001.7325026,-109449051.48479365,-24925789.42372363,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202832,-115439136.72324224,-21866842.8716194,1039090649.2142793
23,2018-08-02 15:45:00,337935215.3514194,-116979259.41741805,-21069956.62357713,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152364,-120522601.2230975,-19244747.77657873,964067802.1492027
25,2018-08-02 16:15:00,277935049.7003744,-114849942.30279088,-22158567.087043945,930679191.0541207
26,2018-08-02 16:30:00,288103120.0348029,-92740324.65772708,-33530380.45463056,939363198.2996098
27,2018-08-02 16:45:00,311478682.54754853,-129012960.69016697,-14878315.40012617,963876720.3584332
28,2018-08-02 17:00:00,307177063.6925393,-112875497.82361498,-23177159.59744228,959280048.2215598
29,2018-08-02 17:15:00,303049317.81097335,-99605035.01415208,-30001559.870557353,956205704.4563422
30,2018-08-02 17:30:00,272868946.16673607,-107462568.95731145,-25957270.921710767,925199985.3717977
31,2018-08-02 17:45:00,270580218.47771865,-86948509.9108816,-36507163.5233488,922223067.8369813
32,2018-08-02 18:00:00,279419704.9933549,-96801520.5969908,-31440830.06452208,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473978,-96391443.84467614,-31829467.467699863,656357076.9376068
34,2018-08-04 00:15:00,-61526237.52734808,-92033159.2918062,-34063125.35277024,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942398,-93011046.74574846,-33552509.471342843,511495988.7798055
36,2018-08-04 00:45:00,-195581665.7818472,-93393500.51908481,-33349066.140475288,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878344,-99188250.28779162,-30361080.28294923,375079608.09977895
38,2018-08-04 01:15:00,-314947259.150383,-94606559.80523202,-32712332.710661914,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807475,-95073860.06404881,-32466587.21693447,277490562.7949104
40,2018-08-04 01:45:00,-405606336.8351992,-95436178.28720695,-32275893.39431554,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312847,-100517537.37310788,-29659978.964381035,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677694,-95803966.1667129,-32081496.49109844,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127625,-96161903.67343624,-31894332.76559221,157956183.43744123
44,2018-08-04 02:45:00,-500657948.20298386,-96256622.03871304,-31843698.569574315,140053660.9194083
45,2018-08-04 03:15:00,-534975989.8106413,-96588650.79225807,-31669239.82323856,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876812,-96760213.09579258,-31578807.716068406,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659951,-101737850.5262466,-29018547.136693425,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307417,-96767668.86901373,-31574215.87642929,77349450.81341767
49,2018-08-04 04:30:00,-563959438.568225,-96725061.80333927,-31599140.115278296,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604893,-96712697.57579187,-31605380.602653477,74848964.11375539
