,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
0,2018-08-02 01:45:00,-443522099.9888337,-90016724.09391318,-34798155.205162436,12488.75406242786,197156103.82137492
1,2018-08-02 02:00:00,-475195840.18432766,-95387840.59958316,-32032438.642126974,8450.392482391946,165141363.6248394
2,2018-08-02 02:15:00,-497798253.9373423,-90680206.42538401,-34451082.49244776,9052.217187755656,142140632.13992673
3,2018-08-02 02:30:00,-516358101.1017812,-90862288.27296692,-34355439.172015004,7401.328442988289,123182995.18753234
4,2018-08-02 02:45:00,-530900110.51163393,-91311038.97289048,-34123084.174616076,6456.43786580464,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175044,-96315525.77349481,-31548506.519542348,3154.4005800209306,100541287.74024422
6,2018-08-02 03:15:00,-547870574.330359,-91453945.60130568,-34047759.465019375,5156.831841820517,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919197,-91450651.4860198,-34048507.715026274,5484.074914900412,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242124,-91462573.59235375,-34041860.74613328,4794.084608469044,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398844,-96420159.55725077,-31491691.160112977,2854.6810072612875,72959970.09141228
10,2018-08-02 08:45:00,-216609631.02448368,-87590453.40911718,-36121313.166372046,18365.259655268983,427078964.5380359
11,2018-08-02 10:00:00,61699553.0020604,-90579225.67288889,-34614220.82917929,51972.452466221184,709279216.7176036
12,2018-08-02 10:15:00,115248556.87049063,-92463033.85868965,-33651171.232248455,60920.536140760174,762376497.4459728
13,2018-08-02 10:30:00,147399109.91265744,-108848017.48413618,-25228031.072520506,63762.383749291475,794781159.0188048
14,2018-08-02 10:45:00,153391382.6750297,-98867492.58077388,-30361540.84301224,74559.33601616828,802044621.2936982
15,2018-08-02 11:00:00,171983010.8285737,-96602668.96910602,-31528316.628798343,78442.61379014776,822675180.3587673
16,2018-08-02 11:15:00,175928189.2201348,-84469122.70470744,-37768881.89310909,82332.83490987177,825496911.6120068
17,2018-08-02 11:30:00,192572453.40369114,-91611319.32808724,-34097527.29830103,85286.74536349301,845372251.5925786
18,2018-08-02 11:45:00,204772495.29376292,-84598457.94300012,-37705476.85135759,81986.31491574609,856131012.5219313
