,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
0,2018-08-02 01:45:00,-443522099.98882884,-90016724.09391318,-34798155.20516237,12488.754062479526,-4317.024048253077,1185.9431572146407,197156103.82137492
1,2018-08-02 02:00:00,-475195840.1843275,-95387840.59958346,-32032438.642124783,8450.392482392315,-3823.149379843395,1032.6335887665412,165141363.6248394
2,2018-08-02 02:15:00,-497798253.9373419,-90680206.42538406,-34451082.49244744,9052.217187755265,-4004.796572792444,716.6540932264493,142140632.13992673
3,2018-08-02 02:30:00,-516358101.10178095,-90862288.27296695,-34355439.17201498,7401.328442986219,-3670.193326985141,580.2003877951618,123182995.18753234
4,2018-08-02 02:45:00,-530900110.5116338,-91311038.97289053,-34123084.17461606,6456.43786580453,-3433.3355754811028,435.4935735413744,108424209.81481518
5,2018-08-02 03:00:00,-538594191.7175041,-96315525.77349488,-31548506.519542336,3154.4005800208165,-2747.2630766495377,517.2949251119986,100541287.74024422
6,2018-08-02 03:15:00,-547870574.3303589,-91453945.60130574,-34047759.46501934,5156.83184182045,-3295.987399339877,364.64784055985143,91342677.48521297
7,2018-08-02 03:30:00,-556641152.2919194,-91450651.48601988,-34048507.71502627,5484.074914900248,-3555.428661113941,293.90179255849057,82498765.00622223
8,2018-08-02 03:45:00,-561424827.5242122,-91462573.5923538,-34041860.74613326,4794.084608468904,-3182.5669544309217,238.54830934960216,77786277.24865618
9,2018-08-02 04:00:00,-566448090.4398842,-96420159.55725081,-31491691.16011295,2854.6810072612384,-2762.748615521203,323.98512238538626,72959970.09141228
10,2018-08-02 08:45:00,-216609631.0244835,-87590453.40911719,-36121313.166372016,18365.25965526889,-2311.9993426671813,-1526.3941701133251,427078964.5380359
11,2018-08-02 10:00:00,61699553.002060674,-90579225.67288893,-34614220.829179265,51972.45246622091,-10845.229852503011,-3000.595175835481,709279216.7176036
12,2018-08-02 10:15:00,115248556.8704907,-92463033.85868973,-33651171.23224842,60920.53614076001,-14166.755821778159,-3037.9559437597864,762376497.4459728
13,2018-08-02 10:30:00,147399109.91265756,-108848017.48413625,-25228031.072520483,63762.383749291206,-16203.644808930396,-2712.4351213427453,794781159.0188048
14,2018-08-02 10:45:00,153391382.67502996,-98867492.58077388,-30361540.84301223,74559.33601616792,-19094.698480976353,-2888.185570633486,802044621.2936982
15,2018-08-02 11:00:00,171983010.8285738,-96602668.96910605,-31528316.628798313,78442.61379014759,-19235.076055068996,-3075.715844370031,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013506,-84469122.70470744,-37768881.89310905,82332.83490987134,-20307.422428135345,-3392.767097096747,825496911.6120068
17,2018-08-02 11:30:00,192572453.4036913,-91611319.32808727,-34097527.298301,85286.7453634926,-20258.820088762262,-3060.1295681383294,845372251.5925786
18,2018-08-02 11:45:00,204772495.29376292,-84598457.94300014,-37705476.851357535,81986.31491574594,-18697.493069359825,-3337.967799641827,856131012.5219313
19,2018-08-02 12:30:00,207643392.2478383,-116198479.79871666,-21454265.643704593,77127.7069607535,-17788.532923132178,-3059.1930666469643,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526283,-116669866.15800917,-21230618.9443887,79755.91963786932,-18091.634855356715,-1192.3739841073173,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250285,-109449051.48479362,-24925789.42372365,59266.7940159722,-11930.924485158348,-3458.7709111993527,861424081.3474141
22,2018-08-02 15:30:00,382648238.92028356,-115439136.72324228,-21866842.871619415,65775.6092839647,-10941.269398851196,-2038.9865921445412,1039090649.2142793
23,2018-08-02 15:45:00,337935215.35141945,-116979259.41741808,-21069956.623577148,59088.66386277266,-9701.601116688844,-2556.440332507427,991332465.8792404
24,2018-08-02 16:00:00,310969898.5315239,-120522601.22309753,-19244747.776578765,63821.23328473956,-12252.822150741153,-2600.0916728194816,964067802.1492027
25,2018-08-02 16:15:00,277935049.70037484,-114849942.30279094,-22158567.087043967,65819.04230018413,-13636.051580426305,-2826.576793634774,930679191.0541207
26,2018-08-02 16:30:00,288103120.03480315,-92740324.65772712,-33530380.454630587,70031.09598898176,-13662.862261242493,-2863.4323829374607,939363198.2996098
27,2018-08-02 16:45:00,311478682.5475487,-129012960.69016705,-14878315.40012621,48575.64208814275,-7235.17112709788,-1962.806103620369,963876720.3584332
28,2018-08-02 17:00:00,307177063.69253945,-112875497.823615,-23177159.597442303,50920.861446580304,-7324.748040143308,-1920.8742296162723,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109736,-99605035.0141521,-30001559.870557375,48061.37420662223,-4523.146109555289,-1269.6484374680886,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667362,-107462568.95731148,-25957270.921710804,38450.84330824527,-1955.8872078822785,-988.4664497572653,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777188,-86948509.9108816,-36507163.52334883,43515.708063473845,-2946.249319002395,-1084.7767293491315,922223067.8369813
32,2018-08-02 18:00:00,279419704.993355,-96801520.59699081,-31440830.06452211,38555.152946307855,-1728.8582499033203,-390.7106971507528,930489336.3031119
33,2018-08-04 00:00:00,10418069.196474066,-96391443.84467617,-31829467.467699893,9674.677760325938,3890.6372294702223,3806.1645417084897,656357076.9376068
34,2018-08-04 00:15:00,-61526237.52734799,-92033159.29180622,-34063125.352770254,7238.80779851526,4218.995942160205,3475.0393657928566,583831789.3703567
35,2018-08-04 00:30:00,-132957096.1894238,-93011046.74574848,-33552509.47134285,-396.7110164469441,5965.211086177757,2968.1854535547986,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184703,-93393500.51908483,-33349066.140475303,-3519.7865909828683,6243.205481225724,2585.0849347095327,448166886.11900276
37,2018-08-04 01:00:00,-268051522.0887833,-99188250.28779162,-30361080.28294925,-6185.4867779971555,5675.974713536369,2127.0108731206683,375079608.09977895
38,2018-08-04 01:15:00,-314947259.15038294,-94606559.80523202,-32712332.71066194,-4326.903948469642,4921.707682576436,1695.312590527998,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807474,-95073860.06404884,-32466587.21693449,-2795.1204307480994,3413.1060589323242,1340.1460386078675,277490562.7949104
40,2018-08-04 01:45:00,-405606336.83519906,-95436178.28720696,-32275893.394315563,-3885.836970303525,2834.2042407562803,992.8085167932351,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312847,-100517537.37310787,-29659978.964381054,-7568.823597282197,3643.6354364345048,920.930808893182,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677692,-95803966.1667129,-32081496.491098456,-3564.895829800829,1943.5980938627551,654.4575514951929,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127625,-96161903.67343625,-31894332.76559223,-2737.168213559257,952.4757217751092,420.1596946138366,157956183.43744123
44,2018-08-04 02:45:00,-500657948.2029836,-96256622.03871305,-31843698.569574345,-2498.9505927884024,826.7411262551382,303.01649513116865,140053660.9194083
45,2018-08-04 03:15:00,-534975989.8106412,-96588650.79225807,-31669239.823238578,-3544.6575588189417,535.1190722197614,63.978023042258016,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876812,-96760213.09579256,-31578807.716068428,-2278.9205171679273,-225.09407767836854,-72.49937530137008,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659951,-101737850.5262466,-29018547.136693444,-5688.726966043183,687.911678284707,-17.765884482266152,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307417,-96767668.86901374,-31574215.87642931,-3635.575118369855,74.06188695196116,-147.109387995181,77349450.81341767
49,2018-08-04 04:30:00,-563959438.5682249,-96725061.80333924,-31599140.11527831,-2703.8701769318545,-259.5864114192895,-160.1877414462394,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604894,-96712697.57579185,-31605380.60265349,-1914.1278890085475,-540.7888692618874,-140.41620838772567,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124161,-101713765.20245536,-29033144.1655973,-3905.326792499779,-279.6037346503596,-108.60617316956949,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904692,-96678903.5111183,-31623134.27509104,-1679.0887747813995,-689.1359357418011,-134.53061290785965,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830566,-96608472.45458458,-31660009.167485476,-1454.2056736701836,-546.8025717146016,-110.37359157593926,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286354,-96524810.15531029,-31704043.87995804,-2178.725544553157,-81.82939049321128,-126.62199494835276,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701822,-101452131.20623654,-29172272.472647786,-4827.228498519775,727.9792767336764,44.230104536265294,115189142.32308435
56,2018-08-04 06:15:00,-506138199.88711953,-96455190.4321217,-31744166.657829475,-2282.9542372287265,371.8598802981449,-69.05856352374244,134006773.22558579
